Archivo;ID Empresa;Interno;Fecha Inicio primer turno;Hora Inicio primer turno;Minutos Inicio primer turno;Fecha cierre ultimo turno;Hora cierre ultimo turno;Minutos cierre ultimo turno;Duración;Distancia;Velocidad promedio;Cant. Trx.;Recaudacion;Reinicios;Inicio del primer turno;Cierre del último turno
TLL_0265_482_01088_0000000097_03168_20230107_221142_04.19.bin;265;1088;7/1/2023 00:00:00;18;18;7/1/2023 00:00:00;18;18;0:00:30;0;0,00;0;0;0;7/1/2023 18:18:16;7/1/2023 18:18:46
TLL_0265_482_01088_0000000097_03169_20230107_221158_04.19.bin;265;1088;7/1/2023 00:00:00;18;19;7/1/2023 00:00:00;22;0;3:41:08;62,117;16,85;48;382,5;0;7/1/2023 18:19:06;7/1/2023 22:00:14
TLL_0265_482_01088_0000000097_03170_20230110_044456_04.19.bin;265;1088;10/1/2023 00:00:00;4;44;10/1/2023 00:00:00;4;44;0:00:08;0;0,00;0;0;0;10/1/2023 04:44:36;10/1/2023 04:44:44
TLL_0265_482_01088_0000000097_03171_20230110_230123_04.19.bin;265;1088;10/1/2023 00:00:00;4;53;10/1/2023 00:00:00;11;15;6:22:13;89,471;14,05;96;488,5;0;10/1/2023 04:53:25;10/1/2023 11:15:38
TLL_0265_482_01088_0000000097_03172_20230110_230126_04.19.bin;265;1088;10/1/2023 00:00:00;11;19;10/1/2023 00:00:00;17;0;5:41:02;95,864;16,87;59;266;0;10/1/2023 11:19:20;10/1/2023 17:00:22
TLL_0265_482_01088_0000000097_03173_20230110_230128_04.19.bin;265;1088;10/1/2023 00:00:00;17;1;10/1/2023 00:00:00;23;1;6:00:05;97,307;16,21;50;307;0;10/1/2023 17:01:02;10/1/2023 23:01:07
TLL_0265_482_01088_0000000097_03174_20230112_044817_04.19.bin;265;1088;12/1/2023 00:00:00;4;47;12/1/2023 00:00:00;4;47;0:00:09;0;0,00;0;0;0;12/1/2023 04:47:50;12/1/2023 04:47:59
TLL_0265_482_01088_0000000097_03175_20230112_230131_04.19.bin;265;1088;12/1/2023 00:00:00;4;58;12/1/2023 00:00:00;11;10;6:12:00;90,151;14,54;58;260,5;0;12/1/2023 04:58:41;12/1/2023 11:10:41
TLL_0265_482_01088_0000000097_03176_20230112_230133_04.19.bin;265;1088;12/1/2023 00:00:00;11;13;12/1/2023 00:00:00;17;3;5:50:51;95,753;16,38;63;377;0;12/1/2023 11:13:07;12/1/2023 17:03:58
TLL_0265_482_01088_0000000097_03177_20230112_230135_04.19.bin;265;1088;12/1/2023 00:00:00;17;6;12/1/2023 00:00:00;23;1;5:55:10;97,157;16,41;63;352,5;0;12/1/2023 17:06:04;12/1/2023 23:01:14
TLL_0265_482_01088_0000000097_03178_20230114_045652_04.19.bin;265;1088;14/1/2023 00:00:00;4;56;14/1/2023 00:00:00;4;56;0:00:08;0;0,00;0;0;0;14/1/2023 04:56:27;14/1/2023 04:56:35
TLL_0265_482_01088_0000000097_03179_20230114_051207_04.19.bin;265;1088;14/1/2023 00:00:00;5;7;14/1/2023 00:00:00;5;11;0:04:44;0;0,00;0;0;0;14/1/2023 05:07:07;14/1/2023 05:11:51
TLL_0265_482_01088_0000000097_03180_20230124_045911_04.19.bin;265;1088;24/1/2023 00:00:00;4;58;24/1/2023 00:00:00;4;58;0:00:13;0;0,00;0;0;0;24/1/2023 04:58:41;24/1/2023 04:58:54
TLL_0265_482_01088_0000000097_03181_20230125_155502_04.19.bin;265;1088;24/1/2023 00:00:00;5;0;24/1/2023 00:00:00;11;15;6:14:53;89,974;14,40;88;377;0;24/1/2023 05:00:10;24/1/2023 11:15:03
TLL_0265_482_01088_0000000097_03182_20230125_155504_04.19.bin;265;1088;24/1/2023 00:00:00;11;32;24/1/2023 00:00:00;17;6;5:33:37;95,759;17,22;58;321,5;0;24/1/2023 11:32:54;24/1/2023 17:06:31
TLL_0265_482_01088_0000000097_03183_20230125_155505_04.19.bin;265;1088;24/1/2023 00:00:00;17;6;25/1/2023 00:00:00;14;57;21:50:54;108,585;4,97;33;168;0;24/1/2023 17:06:53;25/1/2023 14:57:47
TLL_0265_482_01088_0000000097_03184_20230126_044943_04.19.bin;265;1088;26/1/2023 00:00:00;4;49;26/1/2023 00:00:00;4;49;0:00:08;0;0,00;0;0;0;26/1/2023 04:49:19;26/1/2023 04:49:27
TLL_0265_482_01088_0000000097_03185_20230126_230427_04.19.bin;265;1088;26/1/2023 00:00:00;5;1;26/1/2023 00:00:00;11;5;6:04:20;90,058;14,83;102;468;0;26/1/2023 05:01:26;26/1/2023 11:05:46
TLL_0265_482_01088_0000000097_03186_20230126_230429_04.19.bin;265;1088;26/1/2023 00:00:00;11;19;26/1/2023 00:00:00;17;2;5:43:10;95,713;16,73;50;333,5;0;26/1/2023 11:19:05;26/1/2023 17:02:15
